time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,phase,gender,t_fte_teachers
201617,Academic year,Regional,E92000001,England,E12000005,West Midlands,Primary,Male,3567.9088452
201617,Academic year,Regional,E92000001,England,E12000005,West Midlands,Primary,Total,24065.560566
201617,Academic year,Regional,E92000001,England,E12000005,West Midlands,Secondary,Female,14817.1333
201617,Academic year,Regional,E92000001,England,E12000005,West Midlands,Secondary,Male,8656.01407
201617,Academic year,Regional,E92000001,England,E12000005,West Midlands,Secondary,Total,23506.519
201617,Academic year,Regional,E92000001,England,E12000005,West Midlands,Special,Female,2085.20125
201617,Academic year,Regional,E92000001,England,E12000005,West Midlands,Special,Male,755.5775
201617,Academic year,Regional,E92000001,England,E12000005,West Midlands,Special,Total,2840.77875
201617,Academic year,Regional,E92000001,England,E12000005,West Midlands,Total,Female,37954.72106
201617,Academic year,Regional,E92000001,England,E12000005,West Midlands,Total,Male,13109.64042
201617,Academic year,Regional,E92000001,England,E12000005,West Midlands,Total,Total,51122.53332
201617,Academic year,Regional,E92000001,England,E12000005,West Midlands,Total maintained,Female,37954.72106
201617,Academic year,Regional,E92000001,England,E12000005,West Midlands,Total maintained,Male,13109.64042
201617,Academic year,Regional,E92000001,England,E12000005,West Midlands,Total maintained,Total,51122.53332
201617,Academic year,Regional,E92000001,England,E12000006,East of England,Nursery,Female,130.55
201617,Academic year,Regional,E92000001,England,E12000006,East of England,Nursery,Male,1
201617,Academic year,Regional,E92000001,England,E12000006,East of England,Nursery,Total,131.55
201617,Academic year,Regional,E92000001,England,E12000006,East of England,Primary,Female,20661.126953
201617,Academic year,Regional,E92000001,England,E12000006,East of England,Primary,Male,3517.849228
201617,Academic year,Regional,E92000001,England,E12000006,East of England,Primary,Total,24182.576178
201617,Academic year,Regional,E92000001,England,E12000006,East of England,Secondary,Female,14654.24541
201617,Academic year,Regional,E92000001,England,E12000006,East of England,Secondary,Male,8923.576418
201617,Academic year,Regional,E92000001,England,E12000006,East of England,Secondary,Total,23592.83866
201617,Academic year,Regional,E92000001,England,E12000006,East of England,Special,Female,1702.422577
201617,Academic year,Regional,E92000001,England,E12000006,East of England,Special,Male,629.5267797
201617,Academic year,Regional,E92000001,England,E12000006,East of England,Special,Total,2331.949357
201617,Academic year,Regional,E92000001,England,E12000006,East of England,Total,Female,37481.19493
201617,Academic year,Regional,E92000001,England,E12000006,East of England,Total,Male,13149.47243
201617,Academic year,Regional,E92000001,England,E12000006,East of England,Total,Total,50649.28419
201617,Academic year,Regional,E92000001,England,E12000006,East of England,Total maintained,Female,37481.19493
201617,Academic year,Regional,E92000001,England,E12000006,East of England,Total maintained,Male,13149.47243
201617,Academic year,Regional,E92000001,England,E12000006,East of England,Total maintained,Total,50649.28419
201617,Academic year,Regional,E92000001,England,E12000008,South East,Nursery,Female,135.78
201617,Academic year,Regional,E92000001,England,E12000008,South East,Nursery,Male,5.6
201617,Academic year,Regional,E92000001,England,E12000008,South East,Nursery,Total,141.38
201617,Academic year,Regional,E92000001,England,E12000008,South East,Primary,Female,29599.526197
